epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.898727297782898,0.3178001046180725,0.001,0.9636363387107849,0.1354275792837143
1,0.9554545283317566,0.14252306520938873,0.001,0.9404545426368713,0.23841600120067596
2,0.9605454802513123,0.12223466485738754,0.001,0.9659090638160706,0.10266661643981934
3,0.9735454320907593,0.08367523550987244,0.001,0.9740909337997437,0.0831674188375473
4,0.9732727408409119,0.08647322654724121,0.001,0.9931818246841431,0.021856993436813354
5,0.9757272601127625,0.08217143267393112,0.001,0.9745454788208008,0.09978049993515015
6,0.9763636589050293,0.07554199546575546,0.001,0.9481818079948425,0.21914257109165192
7,0.9789090752601624,0.06715703010559082,0.001,0.9795454740524292,0.09846054017543793
8,0.9760909080505371,0.085997574031353,0.001,0.9886363744735718,0.03599778190255165
9,0.9830909371376038,0.05506867542862892,0.001,0.9868181943893433,0.0417342483997345
10,0.9791818261146545,0.0616794154047966,0.001,0.971818208694458,0.09413869678974152
11,0.9823636412620544,0.057430122047662735,0.001,0.9840909242630005,0.05353116989135742
12,0.9793636202812195,0.06795887649059296,0.001,0.9690909385681152,0.11996635049581528
13,0.9803636074066162,0.0682353526353836,0.001,0.9845454692840576,0.05299505591392517
14,0.984000027179718,0.0517541840672493,0.001,0.9890909194946289,0.031568728387355804
15,0.9835454821586609,0.055161722004413605,0.001,0.9904545545578003,0.03576717898249626
16,0.984181821346283,0.05293148010969162,0.001,0.989545464515686,0.028252029791474342
17,0.9838181734085083,0.05214584618806839,0.001,0.9936363697052002,0.018725184723734856
18,0.9868181943893433,0.04343583062291145,0.001,0.9936363697052002,0.025067003443837166
19,0.9832727313041687,0.0573846660554409,0.001,0.9622727036476135,0.18148477375507355
20,0.9873636364936829,0.041197001934051514,0.001,0.9972727298736572,0.00926043838262558
21,0.9835454821586609,0.053109269589185715,0.001,0.9954545497894287,0.026609625667333603
22,0.9855454564094543,0.04972440004348755,0.001,0.9677272439002991,0.13734272122383118
23,0.9868181943893433,0.047126930207014084,0.001,0.9686363339424133,0.19096364080905914
24,0.9850000143051147,0.0499732568860054,0.001,0.9768182039260864,0.08861888200044632
25,0.9881818294525146,0.04021422564983368,0.001,0.9104545712471008,0.4718388319015503
26,0.9850909113883972,0.050731394439935684,0.001,0.9918181896209717,0.0329488180577755
27,0.9879090785980225,0.039109595119953156,0.001,0.9945454597473145,0.015334817580878735
28,0.9891818165779114,0.03728003427386284,0.001,0.9977272748947144,0.010300560854375362
29,0.9903636574745178,0.031876541674137115,0.001,0.9954545497894287,0.011071345768868923
30,0.9877272844314575,0.04286454617977142,0.001,0.9777272939682007,0.09459733217954636
31,0.9882727265357971,0.04639963433146477,0.001,0.9990909099578857,0.0028297025710344315
32,0.9867272973060608,0.04469501972198486,0.001,0.989545464515686,0.0292874276638031
33,0.9851818084716797,0.04562891647219658,0.001,0.9927272796630859,0.028354337438941002
34,0.986090898513794,0.05041535943746567,0.001,0.9909090995788574,0.03990032151341438
35,0.9892727136611938,0.03546930477023125,0.001,0.996363639831543,0.016492022201418877
36,0.9899091124534607,0.030870649963617325,0.001,0.9931818246841431,0.01997162215411663
37,0.9871818423271179,0.03910866007208824,0.001,0.9909090995788574,0.03286265581846237
38,0.9884545207023621,0.042164552956819534,0.001,0.9909090995788574,0.031537432223558426
39,0.9886363744735718,0.03448057547211647,0.001,0.996363639831543,0.019899459555745125
40,0.991636335849762,0.028948327526450157,0.001,0.9986363649368286,0.003982648719102144
41,0.9909090995788574,0.03364270552992821,0.001,0.9954545497894287,0.019451184198260307
42,0.9887272715568542,0.03786839544773102,0.001,0.9886363744735718,0.04174318537116051
43,0.9883636236190796,0.03648560494184494,0.001,0.9954545497894287,0.018121056258678436
44,0.9922727346420288,0.026477523148059845,0.001,0.9909090995788574,0.02858312800526619
45,0.9926363825798035,0.023629724979400635,0.001,0.9831818342208862,0.0540996752679348
46,0.9872727394104004,0.042172349989414215,0.001,0.9959090948104858,0.009892923757433891
47,0.9948182106018066,0.016547009348869324,0.0005,1.0,0.0005529280169866979
48,0.9962727427482605,0.014406549744307995,0.0005,0.9995454549789429,0.0013138060458004475
49,0.9957273006439209,0.013567849062383175,0.0005,0.9986363649368286,0.0017810490680858493
